time,open,high,low,close,volume
1780252800000,73667.21000000,73678.00000000,73631.65000000,73642.72000000,15.60399000
1780253100000,73642.71000000,73642.72000000,73599.99000000,73614.12000000,29.42085000
1780253400000,73614.13000000,73614.13000000,73585.49000000,73608.00000000,9.55099000
1780253700000,73608.00000000,73639.89000000,73603.68000000,73603.69000000,13.05896000
1780254000000,73603.68000000,73649.93000000,73602.46000000,73602.47000000,22.99139000
1780254300000,73602.47000000,73605.66000000,73593.36000000,73593.37000000,5.81988000
1780254600000,73593.37000000,73600.18000000,73590.38000000,73590.39000000,9.85779000
1780254900000,73590.38000000,73614.00000000,73590.38000000,73614.00000000,3.69061000
1780255200000,73613.99000000,73618.93000000,73508.00000000,73508.13000000,24.90532000
1780255500000,73508.12000000,73526.00000000,73457.09000000,73526.00000000,13.90211000
1780255800000,73526.00000000,73543.82000000,73456.48000000,73470.00000000,23.60057000
1780256100000,73469.99000000,73524.56000000,73469.99000000,73524.56000000,10.96792000
1780256400000,73524.56000000,73537.99000000,73519.23000000,73520.41000000,26.67945000
1780256700000,73520.41000000,73535.41000000,73511.71000000,73522.04000000,18.99404000
1780257000000,73522.05000000,73546.24000000,73522.04000000,73546.24000000,6.60061000
1780257300000,73546.24000000,73581.63000000,73546.23000000,73563.42000000,87.79879000
1780257600000,73563.41000000,73657.32000000,73563.41000000,73623.53000000,70.10023000
1780257900000,73623.53000000,73700.00000000,73599.99000000,73688.26000000,135.97090000
1780258200000,73688.27000000,73692.79000000,73636.00000000,73692.79000000,35.48574000
1780258500000,73692.79000000,73718.00000000,73666.67000000,73710.01000000,17.33895000
1780258800000,73710.00000000,73748.00000000,73690.00000000,73690.00000000,10.66343000
1780259100000,73690.00000000,73706.72000000,73679.05000000,73682.28000000,20.71494000
1780259400000,73682.28000000,73718.00000000,73679.04000000,73679.04000000,22.36029000
1780259700000,73679.05000000,73705.58000000,73674.36000000,73674.36000000,26.05915000
1780260000000,73674.37000000,73692.84000000,73674.36000000,73692.84000000,7.70272000
1780260300000,73692.83000000,73704.00000000,73692.83000000,73693.60000000,12.37104000
1780260600000,73693.60000000,73734.00000000,73693.59000000,73734.00000000,8.07593000
1780260900000,73734.00000000,73760.00000000,73734.00000000,73739.66000000,14.72078000
1780261200000,73739.67000000,73754.00000000,73702.11000000,73747.38000000,46.21654000
1780261500000,73747.60000000,73752.53000000,73719.58000000,73719.59000000,14.25290000
1780261800000,73719.58000000,73719.59000000,73688.00000000,73688.00000000,20.82204000
1780262100000,73688.00000000,73732.00000000,73675.23000000,73675.23000000,90.61825000
1780262400000,73675.24000000,73681.69000000,73673.24000000,73680.54000000,9.65684000
1780262700000,73680.54000000,73681.42000000,73626.67000000,73650.51000000,21.82389000
